"tile","xmin","xmax","ymin","ymax"
"h05v03",-130,-120,50,60
"h05v04",-130,-120,40,50
"h05v05",-130,-120,30,40
"h05v06",-130,-120,20,30
"h06v03",-120,-110,50,60
"h06v04",-120,-110,40,50
"h06v05",-120,-110,30,40
"h06v06",-120,-110,20,30
"h07v03",-110,-100,50,60
"h07v04",-110,-100,40,50
"h07v05",-110,-100,30,40
"h07v06",-110,-100,20,30
"h08v03",-100,-90,50,60
"h08v04",-100,-90,40,50
"h08v05",-100,-90,30,40
"h08v06",-100,-90,20,30
"h09v03",-90,-80,50,60
"h09v04",-90,-80,40,50
"h09v05",-90,-80,30,40
"h09v06",-90,-80,20,30
"h10v03",-80,-70,50,60
"h10v04",-80,-70,40,50
"h10v05",-80,-70,30,40
"h10v06",-80,-70,20,30
"h11v03",-70,-60,50,60
"h11v04",-70,-60,40,50
"h11v05",-70,-60,30,40
"h11v06",-70,-60,20,30
